,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Wendy's,43.80744841934756,-79.19905558052072,Fast Food Restaurant
1,"Highland Creek, Rouge Hill, Port Union",43.7845351,-79.16049709999999,Royal Canadian Legion,43.78253332838298,-79.16308473261682,Bar
2,"Highland Creek, Rouge Hill, Port Union",43.7845351,-79.16049709999999,Affordable Toronto Movers,43.787918740889744,-79.16297673924419,Moving Target
3,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Swiss Chalet Rotisserie & Grill,43.76769708292701,-79.1899135003439,Pizza Place
4,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,G & G Electronics,43.765309,-79.191537,Electronics Store
5,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Marina Spa,43.766,-79.191,Spa
6,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Big Bite Burrito,43.766299084470795,-79.19071980583941,Mexican Restaurant
7,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,chatr Mobile,43.76614,-79.19163,Electronics Store
8,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Enterprise Rent-A-Car,43.7640757,-79.1934057,Rental Car Location
9,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Woburn Medical Centre,43.766631153138455,-79.19228553771973,Medical Center
10,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Lawrence Ave E & Kingston Rd,43.767704,-79.18949,Intersection
11,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Eggsmart,43.7678,-79.190466,Breakfast Spot
12,Woburn,43.7709921,-79.21691740000001,Starbucks,43.770037201625215,-79.22115586641958,Coffee Shop
13,Woburn,43.7709921,-79.21691740000001,Tim Hortons,43.7708270725628,-79.22307810384153,Coffee Shop
14,Woburn,43.7709921,-79.21691740000001,Korean Grill House,43.7708117291354,-79.21450208834013,Korean Restaurant
15,Woburn,43.7709921,-79.21691740000001,Leslie & Giles Insurance Limited,43.7731162,-79.2195586,Insurance Office
16,Woburn,43.7709921,-79.21691740000001,Toronto Ali Sami Yen Spor Kompleksi (Lionhill),43.76767,-79.21821,Soccer Field
17,Cedarbrae,43.773136,-79.23947609999999,Federick Restaurant,43.77469659057996,-79.24114242818267,Hakka Restaurant
18,Cedarbrae,43.773136,-79.23947609999999,Drupati's Roti & Doubles,43.775222138791534,-79.24167761001029,Caribbean Restaurant
19,Cedarbrae,43.773136,-79.23947609999999,Thai One On,43.77446763641413,-79.24126833717742,Thai Restaurant
20,Cedarbrae,43.773136,-79.23947609999999,TD Canada Trust,43.77495189482367,-79.24134314060211,Bank
21,Cedarbrae,43.773136,-79.23947609999999,Centennial Recreation Centre,43.77459330890341,-79.23649962433035,Athletics & Sports
22,Cedarbrae,43.773136,-79.23947609999999,Petro-Canada,43.774106,-79.243097,Gas Station
23,Cedarbrae,43.773136,-79.23947609999999,B&A Bakery,43.77439074389114,-79.24387684648542,Bakery
24,Cedarbrae,43.773136,-79.23947609999999,Popeyes Louisiana Kitchen,43.7759298356196,-79.23532833470263,Fried Chicken Joint
25,Scarborough Village,43.7447342,-79.23947609999999,McCowan Park,43.74508851212816,-79.239335687338,Playground
26,Scarborough Village,43.7447342,-79.23947609999999,True Discount Convenience Store,43.74385420196717,-79.24464963318577,Convenience Store
27,"East Birchmount Park, Ionview, Kennedy Park",43.7279292,-79.26202940000002,Giant Tiger,43.72744662939136,-79.26624035854763,Department Store
28,"East Birchmount Park, Ionview, Kennedy Park",43.7279292,-79.26202940000002,Tim Hortons,43.72689508691926,-79.26615692675114,Coffee Shop
29,"East Birchmount Park, Ionview, Kennedy Park",43.7279292,-79.26202940000002,Dollarama,43.72659620252377,-79.26682995710473,Discount Store
30,"East Birchmount Park, Ionview, Kennedy Park",43.7279292,-79.26202940000002,Kennedy Station Passenger Pickup,43.73200926072711,-79.26453709017373,Bus Station
31,"Clairlea, Golden Mile, Oakridge",43.711111700000004,-79.2845772,Dairy Queen,43.71037770465013,-79.29070115089417,Fast Food Restaurant
32,"Clairlea, Golden Mile, Oakridge",43.711111700000004,-79.2845772,Warden Ave & St. Clair Ave E,43.71205669347002,-79.28100496530533,Intersection
33,"Clairlea, Golden Mile, Oakridge",43.711111700000004,-79.2845772,TTC Bus #68 Warden,43.71177810997778,-79.27971412913774,Bus Line
34,"Clairlea, Golden Mile, Oakridge",43.711111700000004,-79.2845772,TTC Bus 102 Markham Road,43.711381420906115,-79.27958752636661,Bus Line
35,"Clairlea, Golden Mile, Oakridge",43.711111700000004,-79.2845772,Warden Station Bus Loop,43.71124084776515,-79.27957605867647,Bus Station
36,"Clairlea, Golden Mile, Oakridge",43.711111700000004,-79.2845772,Bakery On The Go,43.711270905205765,-79.27950587661704,Bakery
37,"Clairlea, Golden Mile, Oakridge",43.711111700000004,-79.2845772,Cafe on the go,43.71115104374148,-79.27946923512921,Bakery
38,"Clairlea, Golden Mile, Oakridge",43.711111700000004,-79.2845772,Warden Woods Park,43.71052711027375,-79.27896551895955,Park
39,"Clairlea, Golden Mile, Oakridge",43.711111700000004,-79.2845772,Clairlea Futbol Centre,43.71523429184505,-79.28650639185544,Soccer Field
40,"Cliffcrest, Cliffside, Scarborough Village West",43.716316,-79.23947609999999,Have A Nap Motel,43.718256,-79.240135,Motel
41,"Cliffcrest, Cliffside, Scarborough Village West",43.716316,-79.23947609999999,Vincent's Spot,43.71700152544261,-79.24235338465942,American Restaurant
42,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481,The Birchcliff,43.69166644406541,-79.26453158481682,Café
43,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481,Birchmount Community Centre,43.69517507509799,-79.26216087070237,General Entertainment
44,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481,Scarborough Gardens,43.6946465192162,-79.26223031725522,Skating Rink
45,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481,Birchmount Stadium,43.695322867712626,-79.26129341125488,College Stadium
46,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.7574096,-79.27330400000001,Kairali,43.754914739291834,-79.27694504646365,Indian Restaurant
47,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.7574096,-79.27330400000001,Kim Kim restaurant,43.75383283792732,-79.27661122245037,Chinese Restaurant
48,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.7574096,-79.27330400000001,Karaikudi Chettinad South Indian Restaurant,43.756041539453136,-79.27627591942013,Indian Restaurant
49,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.7574096,-79.27330400000001,Big Al's Pet Supercentre,43.75927894411595,-79.27832544749343,Pet Store
50,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.7574096,-79.27330400000001,Pho Vietnam,43.757770305647185,-79.27857193068989,Vietnamese Restaurant
51,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.7574096,-79.27330400000001,Mill St. Brewery,43.759471599836886,-79.27112102508545,Brewery
52,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.7574096,-79.27330400000001,Salvation Army Thrift Store,43.755782105509475,-79.2762077195083,Thrift / Vintage Store
53,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.7574096,-79.27330400000001,Blinds To Go,43.757146885289295,-79.27807331085205,Furniture / Home Store
54,"Maryvale, Wexford",43.750071500000004,-79.2958491,Crown Pastries,43.746098,-79.293142,Bakery
55,"Maryvale, Wexford",43.750071500000004,-79.2958491,Wexford Restaurant,43.7460300445972,-79.29384330907153,Breakfast Spot
56,"Maryvale, Wexford",43.750071500000004,-79.2958491,Subway,43.746007572548756,-79.29323762088987,Sandwich Place
57,"Maryvale, Wexford",43.750071500000004,-79.2958491,Lebanese bakery,43.74670137305754,-79.29289639281615,Middle Eastern Restaurant
58,"Maryvale, Wexford",43.750071500000004,-79.2958491,Scarborough Garage Door Repair,43.75128820404063,-79.30150777101517,Auto Garage
59,"Maryvale, Wexford",43.750071500000004,-79.2958491,Banh Mi Metro,43.74583,-79.295309,Vietnamese Restaurant
60,"Maryvale, Wexford",43.750071500000004,-79.2958491,Puffin Gear,43.75094720492973,-79.29004669189453,Accessories Store
61,Agincourt,43.7942003,-79.26202940000002,Panagio's Breakfast & Lunch,43.79237001092506,-79.26020325805978,Breakfast Spot
62,Agincourt,43.7942003,-79.26202940000002,Twilight,43.791999483291015,-79.25858447143591,Lounge
63,Agincourt,43.7942003,-79.26202940000002,El Pulgarcito,43.792647695283875,-79.25920775335268,Latin American Restaurant
64,Agincourt,43.7942003,-79.26202940000002,Mark's,43.791178865505806,-79.25971427359902,Clothing Store
65,Agincourt,43.7942003,-79.26202940000002,Commander Arena,43.794867324063404,-79.26798888527924,Skating Rink
66,"Clarks Corners, Sullivan, Tam O'Shanter",43.7816375,-79.3043021,Remezzo Italian Bistro,43.778649,-79.308264,Italian Restaurant
67,"Clarks Corners, Sullivan, Tam O'Shanter",43.7816375,-79.3043021,The Royal Chinese Restaurant 避風塘小炒,43.78050473445372,-79.29884391314476,Chinese Restaurant
68,"Clarks Corners, Sullivan, Tam O'Shanter",43.7816375,-79.3043021,Kub Khao,43.780437780734204,-79.2998370364667,Thai Restaurant
69,"Clarks Corners, Sullivan, Tam O'Shanter",43.7816375,-79.3043021,Eight Noodles,43.77823412485005,-79.30829897588661,Noodle House
70,"Clarks Corners, Sullivan, Tam O'Shanter",43.7816375,-79.3043021,TD Canada Trust,43.7791686,-79.3036167,Bank
71,"Clarks Corners, Sullivan, Tam O'Shanter",43.7816375,-79.3043021,KFC,43.77943993243305,-79.30337149356963,Fast Food Restaurant
72,"Clarks Corners, Sullivan, Tam O'Shanter",43.7816375,-79.3043021,Popeyes Louisiana Kitchen,43.780476,-79.29846,Fried Chicken Joint
73,"Clarks Corners, Sullivan, Tam O'Shanter",43.7816375,-79.3043021,Eaton Centre USA,43.78357217787199,-79.30491567549906,Shopping Mall
74,"Clarks Corners, Sullivan, Tam O'Shanter",43.7816375,-79.3043021,Little Caesars Pizza,43.78056271894292,-79.2986242771319,Pizza Place
75,"Clarks Corners, Sullivan, Tam O'Shanter",43.7816375,-79.3043021,Rexall,43.7809,-79.298764,Pharmacy
76,"Clarks Corners, Sullivan, Tam O'Shanter",43.7816375,-79.3043021,Gusto Pizza,43.78360724036883,-79.29898327417831,Pizza Place
77,"Clarks Corners, Sullivan, Tam O'Shanter",43.7816375,-79.3043021,Rexall,43.78073190083844,-79.2982568317862,Pharmacy
78,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",43.8152522,-79.2845772,Port Royal Park,43.815477,-79.289773,Park
79,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",43.8152522,-79.2845772,Black Pearl Remnant,43.815473,-79.289769,Sculpture Garden
80,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",43.8152522,-79.2845772,Milliken Public School Playground,43.81538282984429,-79.2898673242174,Playground
81,L'Amoreaux West,43.799525200000005,-79.3183887,Mr Congee Chinese Cuisine 龍粥記,43.798878792587615,-79.3183345011537,Chinese Restaurant
82,L'Amoreaux West,43.799525200000005,-79.3183887,Phoenix Restaurant 金鳳餐廳,43.79819775434163,-79.31843152382791,Chinese Restaurant
83,L'Amoreaux West,43.799525200000005,-79.3183887,Subway,43.798982701368914,-79.31883822486604,Sandwich Place
84,L'Amoreaux West,43.799525200000005,-79.3183887,Price Chopper,43.799444969304986,-79.3185634598668,Grocery Store
85,L'Amoreaux West,43.799525200000005,-79.3183887,Shoppers Drug Mart,43.799966,-79.317985,Pharmacy
86,L'Amoreaux West,43.799525200000005,-79.3183887,KFC,43.7989384013184,-79.31885368338149,Fast Food Restaurant
87,L'Amoreaux West,43.799525200000005,-79.3183887,Tim Hortons,43.7991018,-79.3187148,Coffee Shop
